PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,58203,Ashmore Reef,2,27.0578,3
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,58503,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,58803,Ashmore Reef,2,27.0578,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,59103,Ashmore Reef,2,27.0578,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,59403,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,59703,Ashmore Reef,3,31.7516,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,60003,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,60303,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,60603,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,60903,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,61203,Ashmore Reef,3,31.7516,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,61503,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,61803,Ashmore Reef,3,31.7516,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,62103,Ashmore Reef,3,31.7516,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,62403,Ashmore Reef,3,31.7516,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,62703,Ashmore Reef,3,31.7516,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,63003,Ashmore Reef,3,31.7516,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,63303,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,63603,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,63903,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,64203,Ashmore Reef,3,31.7516,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,64503,Ashmore Reef,3,31.7516,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,64803,Ashmore Reef,3,31.7516,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,65103,Ashmore Reef,3,31.7516,2
